model,condition,distortion_type,severity_level,severity_label,params,mean_snr,f1_samples,f1_micro,f1_macro,exact_match
clean_trained_resnet50,clean,clean,0,Clean,{},inf,0.8346130952380952,0.8157248157248157,0.8087208871239266,0.5875
fine_tuned_resnet50,clean,clean,0,Clean,{},inf,0.864595238095238,0.8448844884488449,0.8437330207033215,0.6575
clean_trained_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8224285714285715,0.8105939004815409,0.8077218796021283,0.5625
fine_tuned_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8639285714285715,0.8448132780082988,0.8397179700695278,0.66
clean_trained_resnet50,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.7933511904761904,0.7850770478507705,0.7746419941611837,0.535
fine_tuned_resnet50,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.8476904761904762,0.8305647840531561,0.8241677857127779,0.63
clean_trained_resnet50,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.7552142857142857,0.7520938023450586,0.7285159708605854,0.5025
fine_tuned_resnet50,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.8332738095238094,0.8162251655629139,0.8129468024889173,0.605
clean_trained_resnet50,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.6833452380952381,0.703125,0.6394338933045861,0.4225
fine_tuned_resnet50,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.814577380952381,0.8019720624486442,0.7943854776226426,0.5725
clean_trained_resnet50,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.5374583333333334,0.587037037037037,0.47842674458042894,0.3075
fine_tuned_resnet50,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.7569702380952381,0.7453815261044177,0.7345457040426254,0.4825
clean_trained_resnet50,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.38299999999999995,0.45114345114345117,0.27300244325645434,0.205
fine_tuned_resnet50,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.6617202380952381,0.6743421052631579,0.6554520836696748,0.395
clean_trained_resnet50,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",15.90650263786316,0.8303511904761904,0.8166259168704156,0.8102541413596395,0.5875
fine_tuned_resnet50,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",15.90650263786316,0.8651190476190476,0.84375,0.8396085551275856,0.6575
clean_trained_resnet50,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",8.520158138871192,0.8272261904761905,0.8169934640522876,0.8102328941377843,0.585
fine_tuned_resnet50,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",8.520158138871192,0.8622976190476191,0.84375,0.8411467419188261,0.665
clean_trained_resnet50,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",4.196926695853472,0.8287619047619049,0.8134757600657354,0.7974944187250701,0.59
fine_tuned_resnet50,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",4.196926695853472,0.8423928571428569,0.8261224489795919,0.8201818519559716,0.615
clean_trained_resnet50,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",1.8136414105427685,0.7886904761904762,0.7844463229078613,0.7683215332112668,0.55
fine_tuned_resnet50,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",1.8136414105427685,0.8263749999999999,0.8143908421913328,0.80594964563549,0.6175
clean_trained_resnet50,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",0.1316232095770829,0.7219345238095238,0.742653606411398,0.716228043906301,0.5125
fine_tuned_resnet50,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",0.1316232095770829,0.8056746031746032,0.7963875205254516,0.7905381361055264,0.575
clean_trained_resnet50,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.6027678571428571,0.6608695652173913,0.6087103359339366,0.3925
fine_tuned_resnet50,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.7391130952380952,0.7373653686826843,0.7261354113239291,0.515
clean_trained_resnet50,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8211428571428572,0.8090452261306532,0.7942465998925707,0.59
fine_tuned_resnet50,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8462619047619048,0.830997526793075,0.8223895246682502,0.625
clean_trained_resnet50,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8004583333333334,0.7958833619210978,0.776628103849817,0.56
fine_tuned_resnet50,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8422857142857143,0.8263772954924875,0.815763025889644,0.6175
clean_trained_resnet50,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.7574285714285713,0.7653880463871543,0.7403899059382909,0.5375
fine_tuned_resnet50,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.827857142857143,0.8115702479338843,0.7938598181081502,0.6
clean_trained_resnet50,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.7053928571428572,0.7264239028944911,0.6624047711337229,0.5175
fine_tuned_resnet50,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.8151607142857142,0.8062913907284768,0.7931664555392415,0.575
clean_trained_resnet50,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.6023928571428572,0.6559031281533805,0.5586908426880769,0.435
fine_tuned_resnet50,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.7978869047619048,0.7874794069192751,0.7795134487526428,0.5475
clean_trained_resnet50,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.44658333333333333,0.5279642058165548,0.39283594014728423,0.295
fine_tuned_resnet50,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.7604345238095237,0.7551187551187551,0.7386819832257553,0.5225
