target_class,condition,distortion_type,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score
bird,clean,clean,125.66666666666667,inf,1.0,0.8333113168531027,1.0
bird,motion_blur_1,motion_blur,125.66666666666667,28.42064158121745,0.6514955858843071,0.8291792551681311,1.0
bird,motion_blur_3,motion_blur,125.66666666666667,19.23052469889323,0.11575077368269641,0.6652594580854236,1.0
bird,motion_blur_6,motion_blur,125.66666666666667,13.030582110087076,0.009163789390103658,0.37975215225432085,0.3333333333333333
bird,overexposure_1,overexposure,125.66666666666667,16.42345968882243,0.9196770731384555,0.8351071959740216,1.0
bird,overexposure_3,overexposure,125.66666666666667,3.8168609937032065,0.4235102993726421,0.6197723371077445,1.0
bird,overexposure_6,overexposure,125.66666666666667,1.4041797320048015,0.0,0.04877621934676124,0.0
bird,salt_pepper_1,salt_pepper,125.66666666666667,23.60991032918294,0.6114645674972666,0.8343264752451778,1.0
bird,salt_pepper_3,salt_pepper,125.66666666666667,12.2276398340861,0.11501863260548849,0.2803017508303777,1.0
bird,salt_pepper_6,salt_pepper,125.66666666666667,3.9205222924550376,0.051397389066256044,0.0,0.6666666666666666
boat,clean,clean,33.0,inf,1.0,0.6201438568448958,1.0
boat,motion_blur_1,motion_blur,33.0,32.29092025756836,0.7267855647659717,0.6268557587122988,1.0
boat,motion_blur_3,motion_blur,33.0,21.452869415283203,0.2743095845903922,0.6348204695412,0.0
boat,motion_blur_6,motion_blur,33.0,15.67691421508789,0.05426356589147287,0.6288001506875118,0.0
boat,overexposure_1,overexposure,33.0,16.918275833129883,0.8740448400369468,0.5372950000908083,1.0
boat,overexposure_3,overexposure,33.0,5.1436872482299805,0.24295099122144062,0.4192771584563326,1.0
boat,overexposure_6,overexposure,33.0,0.654223620891571,0.0,0.0010652803817964888,0.0
boat,salt_pepper_1,salt_pepper,33.0,23.137081146240234,0.7217314487632509,0.6683022571148185,1.0
boat,salt_pepper_3,salt_pepper,33.0,11.962450981140137,0.17060306297528013,0.6558870193720252,0.0
boat,salt_pepper_6,salt_pepper,33.0,3.726351737976074,0.06687930857084062,0.0,0.0
bottle,clean,clean,226.0,inf,1.0,0.9655689870779491,0.6666666666666666
bottle,motion_blur_1,motion_blur,226.0,25.389217376708984,0.5345386064030132,0.9688203418090872,0.6666666666666666
bottle,motion_blur_3,motion_blur,226.0,16.247108459472656,0.0538951099653589,0.8759600297299529,0.0
bottle,motion_blur_6,motion_blur,226.0,11.74441909790039,0.0,0.7244012495661228,0.0
bottle,overexposure_1,overexposure,226.0,15.329703330993652,0.8585165917868685,0.9664860358482701,0.6666666666666666
bottle,overexposure_3,overexposure,226.0,-0.15762315690517426,0.35109835247129306,0.5295095594347464,0.0
bottle,overexposure_6,overexposure,226.0,-2.8132236003875732,0.0,0.0034138218151540385,0.0
bottle,salt_pepper_1,salt_pepper,226.0,21.436595916748047,0.6392045454545454,0.9650262303272545,1.0
bottle,salt_pepper_3,salt_pepper,226.0,10.123908996582031,0.13909324208725407,0.793400049623687,0.0
bottle,salt_pepper_6,salt_pepper,226.0,2.0366790294647217,0.060686533581015674,0.0,0.0
bus,clean,clean,22.0,inf,1.0,0.877711809561327,0.6666666666666666
bus,motion_blur_1,motion_blur,22.0,27.52914047241211,0.6964974161266508,0.899528335093277,0.6666666666666666
bus,motion_blur_3,motion_blur,22.0,19.924358367919922,0.32881189736885114,0.9180454724520232,0.5
bus,motion_blur_6,motion_blur,22.0,15.21942138671875,0.09364133134624938,0.9392959166526634,0.0
bus,overexposure_1,overexposure,22.0,15.653876304626465,0.9126485568760612,0.8658197865410916,0.6666666666666666
bus,overexposure_3,overexposure,22.0,0.7511537075042725,0.4069525788777631,0.3112593992917907,0.6666666666666666
bus,overexposure_6,overexposure,22.0,-1.0395094156265259,0.0,0.031797982647950904,0.0
bus,salt_pepper_1,salt_pepper,22.0,22.274044036865234,0.6727658777243489,0.873764676070614,0.6666666666666666
bus,salt_pepper_3,salt_pepper,22.0,11.120572090148926,0.14308533726886014,0.8987322179853382,1.0
bus,salt_pepper_6,salt_pepper,22.0,2.969437837600708,0.06169865466129584,0.606941539825215,0.0
car,clean,clean,125.0,inf,1.0,0.6052426882389546,0.6666666666666666
car,motion_blur_1,motion_blur,125.0,27.012537002563477,0.3964319409897933,0.6073710456599657,0.6666666666666666
car,motion_blur_3,motion_blur,125.0,23.60301971435547,0.18996789030634384,0.6011826032832802,0.5
car,motion_blur_6,motion_blur,125.0,20.935222625732422,0.1232806052269601,0.529777582674861,0.0
car,overexposure_1,overexposure,125.0,16.315805435180664,0.8233085647242863,0.4458881195051739,0.6666666666666666
car,overexposure_3,overexposure,125.0,4.798986434936523,0.22281186934748487,0.5216436637390214,0.6666666666666666
car,overexposure_6,overexposure,125.0,2.397799015045166,0.0,0.004877281308999371,0.0
car,salt_pepper_1,salt_pepper,125.0,24.00143051147461,0.6579814885254216,0.5947347740667976,0.6666666666666666
car,salt_pepper_3,salt_pepper,125.0,12.68919849395752,0.12589896738467968,0.48690110927543073,1.0
car,salt_pepper_6,salt_pepper,125.0,4.321589469909668,0.05664859756657785,0.0,0.0
cat,clean,clean,110.2,inf,1.0,0.8023053085946753,0.7333333333333333
cat,motion_blur_1,motion_blur,110.2,23.447568511962892,0.5079543344980889,0.7697915020476129,0.8
cat,motion_blur_3,motion_blur,110.2,17.793241119384767,0.11863240586645189,0.5980022439998807,0.5333333333333333
cat,motion_blur_6,motion_blur,110.2,12.967959785461426,0.021681258402162205,0.5682787835280008,0.0
cat,overexposure_1,overexposure,110.2,16.80354824066162,0.8503692311804676,0.7909902903170991,0.6666666666666666
cat,overexposure_3,overexposure,110.2,1.777900016307831,0.28674662730137535,0.44331155174676357,0.6
cat,overexposure_6,overexposure,110.2,-1.3229886054992677,0.0,0.007592164604580516,0.0
cat,salt_pepper_1,salt_pepper,110.2,21.891962814331055,0.6742313167174623,0.6110584452905006,0.8
cat,salt_pepper_3,salt_pepper,110.2,10.529713439941407,0.17431192222377195,0.38463971816534553,0.6
cat,salt_pepper_6,salt_pepper,110.2,2.339933675527573,0.07416414119423212,0.0,0.2
chair,clean,clean,29.0,inf,1.0,0.8528538976321552,0.5
chair,motion_blur_1,motion_blur,29.0,25.592239379882812,0.65719132011464,0.9432122530967526,0.5
chair,motion_blur_3,motion_blur,29.0,18.822071075439453,0.17946122265339406,0.6500073435303497,0.5
chair,motion_blur_6,motion_blur,29.0,14.088797569274902,0.004099160648057779,0.6203620514977157,0.0
chair,overexposure_1,overexposure,29.0,15.893058776855469,0.9371593258567759,0.8804918341314485,0.5
chair,overexposure_3,overexposure,29.0,1.8358376026153564,0.38082107843137253,0.7467975552578701,0.6666666666666666
chair,overexposure_6,overexposure,29.0,0.01614660583436489,0.0,8.52260621297993e-05,0.0
chair,salt_pepper_1,salt_pepper,29.0,23.012741088867188,0.7144164539280381,0.9265227526097092,0.4
chair,salt_pepper_3,salt_pepper,29.0,11.70097827911377,0.16874292185730463,0.662598417228328,0.5
chair,salt_pepper_6,salt_pepper,29.0,3.4647414684295654,0.07376695473682983,0.6240254175288978,0.0
cow,clean,clean,84.33333333333333,inf,1.0,0.802837851613241,0.5555555555555555
cow,motion_blur_1,motion_blur,84.33333333333333,20.41319211324056,0.48964359662461837,0.8103404544218541,0.5555555555555555
cow,motion_blur_3,motion_blur,84.33333333333333,15.619856516520182,0.13135586699410146,0.7753491974400192,0.0
cow,motion_blur_6,motion_blur,84.33333333333333,12.360886573791504,0.032077496382825095,0.678705010850452,0.0
cow,overexposure_1,overexposure,84.33333333333333,15.467157363891602,0.8829793644070548,0.7972622475314552,0.4444444444444444
cow,overexposure_3,overexposure,84.33333333333333,0.803996761639913,0.28297503110791417,0.5954786909381679,0.2222222222222222
cow,overexposure_6,overexposure,84.33333333333333,-1.9891114632288616,0.0,0.3036243113952233,0.0
cow,salt_pepper_1,salt_pepper,84.33333333333333,21.730858484903973,0.8076424690204987,0.6323896622523364,0.5555555555555555
cow,salt_pepper_3,salt_pepper,84.33333333333333,10.419711112976074,0.2781555142298396,0.30769492961121225,0.2222222222222222
cow,salt_pepper_6,salt_pepper,84.33333333333333,2.257783740758896,0.13234399526871513,0.30239453372576597,0.0
dog,clean,clean,99.33333333333333,inf,1.0,0.8022288836293062,0.8888888888888888
dog,motion_blur_1,motion_blur,99.33333333333333,24.136751174926758,0.4719453229626727,0.8489874604333983,0.8888888888888888
dog,motion_blur_3,motion_blur,99.33333333333333,17.37308120727539,0.084700318271676,0.7423613952562991,0.7222222222222222
dog,motion_blur_6,motion_blur,99.33333333333333,12.673894564310709,0.02368346602519814,0.6514333895817574,0.0
dog,overexposure_1,overexposure,99.33333333333333,14.952143033345541,0.8538247870248613,0.8380419131793092,0.8888888888888888
dog,overexposure_3,overexposure,99.33333333333333,-0.7377175092697144,0.2262627603628996,0.8217338344397523,0.8888888888888888
dog,overexposure_6,overexposure,99.33333333333333,-3.8873541553815207,0.0,0.0029114309850828113,0.0
dog,salt_pepper_1,salt_pepper,99.33333333333333,20.45464833577474,0.6214842873219274,0.7935407047830648,0.8888888888888888
dog,salt_pepper_3,salt_pepper,99.33333333333333,9.215935230255127,0.14711768148173665,0.527762421794675,0.8888888888888888
dog,salt_pepper_6,salt_pepper,99.33333333333333,1.2239209512869518,0.06898235710212436,0.29629155646560307,0.2222222222222222
horse,clean,clean,169.0,inf,1.0,0.7335497261109759,0.8333333333333333
horse,motion_blur_1,motion_blur,169.0,24.413576126098633,0.5690119486074503,0.6913932621945303,0.8333333333333333
horse,motion_blur_3,motion_blur,169.0,17.492857933044434,0.1714101689571866,0.6741056815210102,0.3333333333333333
horse,motion_blur_6,motion_blur,169.0,12.367770195007324,0.07682173745903227,0.6165450148118691,0.0
horse,overexposure_1,overexposure,169.0,17.061376571655273,0.8612153437276993,0.7320115093995275,0.8333333333333333
horse,overexposure_3,overexposure,169.0,4.240251898765564,0.32675287125755115,0.4647585546651849,1.0
horse,overexposure_6,overexposure,169.0,0.14548850059509277,0.0,0.017431721642847845,0.0
horse,salt_pepper_1,salt_pepper,169.0,22.53878879547119,0.7920350381114919,0.7334246575089248,1.0
horse,salt_pepper_3,salt_pepper,169.0,11.276967525482178,0.24264836384445831,0.4932537936499602,0.5
horse,salt_pepper_6,salt_pepper,169.0,3.015497922897339,0.10180940126402482,0.25683821524853845,0.0
motorbike,clean,clean,193.0,inf,1.0,0.5824159073202128,1.0
motorbike,motion_blur_1,motion_blur,193.0,20.513790130615234,0.5140037343291545,0.5664304326899139,1.0
motorbike,motion_blur_3,motion_blur,193.0,13.709457397460938,0.10219882316506658,0.6195727938784678,0.6666666666666666
motorbike,motion_blur_6,motion_blur,193.0,9.249974250793457,0.008365057102785014,0.7059335873707131,0.0
motorbike,overexposure_1,overexposure,193.0,17.045442581176758,0.9025706575770487,0.5169784465229769,1.0
motorbike,overexposure_3,overexposure,193.0,1.8117605447769165,0.41790942673416337,0.014945629124467742,0.6666666666666666
motorbike,overexposure_6,overexposure,193.0,-2.8836700916290283,0.0,0.692696693782165,0.0
motorbike,salt_pepper_1,salt_pepper,193.0,21.588768005371094,0.8212034878701545,0.5551009928106813,1.0
motorbike,salt_pepper_3,salt_pepper,193.0,10.032636642456055,0.2652151936649381,0.5335190181913134,0.0
motorbike,salt_pepper_6,salt_pepper,193.0,1.9382116794586182,0.10983950516362843,0.695979038103634,0.0
person,clean,clean,125.68181818181819,inf,1.0,0.532869696110658,0.8484848484848485
person,motion_blur_1,motion_blur,125.68181818181819,23.285549423911355,0.5561314108134702,0.5084376987559401,0.856060606060606
person,motion_blur_3,motion_blur,125.68181818181819,16.280186653137207,0.11950516829056883,0.4618802470697906,0.8515151515151516
person,motion_blur_6,motion_blur,125.68181818181819,11.417614048177546,0.02245709594161369,0.3704132315608917,0.303030303030303
person,overexposure_1,overexposure,125.68181818181819,15.799788084897129,0.8834496090426872,0.5413870676011941,0.856060606060606
person,overexposure_3,overexposure,125.68181818181819,1.5835599354256622,0.3260562704524787,0.44897618723744015,0.8848484848484848
person,overexposure_6,overexposure,125.68181818181819,-2.123352449048649,0.0,0.009631685426348157,0.0
person,salt_pepper_1,salt_pepper,125.68181818181819,21.460056478326972,0.7618210739219823,0.5301204117185608,0.856060606060606
person,salt_pepper_3,salt_pepper,125.68181818181819,10.180466153404929,0.2177755788102238,0.42958485112530603,0.8409090909090909
person,salt_pepper_6,salt_pepper,125.68181818181819,2.056909355250272,0.09557147624738316,0.2115138392461632,0.5454545454545454
pottedplant,clean,clean,96.0,inf,1.0,0.3128810507794918,1.0
pottedplant,motion_blur_1,motion_blur,96.0,23.72638511657715,0.6366153557349352,0.4067403154600286,1.0
pottedplant,motion_blur_3,motion_blur,96.0,17.92770767211914,0.23042092131405073,0.3820336020200058,1.0
pottedplant,motion_blur_6,motion_blur,96.0,13.537240028381348,0.06587936755807144,0.3874779276402299,0.0
pottedplant,overexposure_1,overexposure,96.0,16.978271484375,0.9259671865505368,0.4087215601300108,1.0
pottedplant,overexposure_3,overexposure,96.0,4.446969509124756,0.4356867348650008,0.30138264280930055,1.0
pottedplant,overexposure_6,overexposure,96.0,2.003446102142334,0.0,0.025230517370055612,0.0
pottedplant,salt_pepper_1,salt_pepper,96.0,23.85740089416504,0.7731607629427792,0.40045118949958985,1.0
pottedplant,salt_pepper_3,salt_pepper,96.0,12.530109405517578,0.2289154630979197,0.36409886554130444,1.0
pottedplant,salt_pepper_6,salt_pepper,96.0,4.182915687561035,0.09645243832757806,0.24617103913234648,0.0
sofa,clean,clean,85.33333333333333,inf,1.0,0.5673737471937236,0.8222222222222223
sofa,motion_blur_1,motion_blur,85.33333333333333,25.461140950520832,0.572067460112103,0.5734547375860922,0.8222222222222223
sofa,motion_blur_3,motion_blur,85.33333333333333,18.986533482869465,0.1747917551126362,0.5626834736142237,0.16666666666666666
sofa,motion_blur_6,motion_blur,85.33333333333333,13.568886121114096,0.048674240779261274,0.5331720632709792,0.0
sofa,overexposure_1,overexposure,85.33333333333333,16.56217320760091,0.8700351561935755,0.5831692659296318,0.8222222222222223
sofa,overexposure_3,overexposure,85.33333333333333,3.311957081158956,0.32979463759503824,0.26140310696664315,0.6
sofa,overexposure_6,overexposure,85.33333333333333,0.05998686949412028,0.0,0.03023875513083392,0.0
sofa,salt_pepper_1,salt_pepper,85.33333333333333,22.993475596110027,0.697295975718081,0.5526987113575624,0.7222222222222222
sofa,salt_pepper_3,salt_pepper,85.33333333333333,11.54329522450765,0.15939533601830805,0.5828879590597843,0.5
sofa,salt_pepper_6,salt_pepper,85.33333333333333,3.306185166041056,0.06967953352699845,0.23212655006164784,0.16666666666666666
train,clean,clean,163.0,inf,1.0,0.8143235174379156,1.0
train,motion_blur_1,motion_blur,163.0,18.78490447998047,0.43356817876408593,0.8241384007628388,1.0
train,motion_blur_3,motion_blur,163.0,14.82365608215332,0.08832664682282904,0.81377765803388,0.0
train,motion_blur_6,motion_blur,163.0,12.119256973266602,0.025104416600017773,0.7609285796548263,0.0
train,overexposure_1,overexposure,163.0,17.16330337524414,0.9167747233748271,0.810048666338833,1.0
train,overexposure_3,overexposure,163.0,2.5926945209503174,0.311346047802856,0.5369780825272438,1.0
train,overexposure_6,overexposure,163.0,-0.04716286435723305,0.0,0.012649909643502547,0.0
train,salt_pepper_1,salt_pepper,163.0,22.80527114868164,0.8860051318722921,0.7907957650273224,1.0
train,salt_pepper_3,salt_pepper,163.0,11.642084121704102,0.3911190053285968,0.7713048813744205,1.0
train,salt_pepper_6,salt_pepper,163.0,3.4283666610717773,0.18336813169518734,0.0,0.0
tvmonitor,clean,clean,4.0,inf,1.0,0.885896180215475,1.0
tvmonitor,motion_blur_1,motion_blur,4.0,27.926773071289062,0.7114975420060166,0.8866182819908351,1.0
tvmonitor,motion_blur_3,motion_blur,4.0,18.718568801879883,0.27654286897694325,0.898244361598054,1.0
tvmonitor,motion_blur_6,motion_blur,4.0,13.368341445922852,0.026235972095844707,0.8465682105208897,0.0
tvmonitor,overexposure_1,overexposure,4.0,16.933427810668945,0.814523381294964,0.8860598513651358,1.0
tvmonitor,overexposure_3,overexposure,4.0,3.8710250854492188,0.3251328596166478,0.6367130356145437,1.0
tvmonitor,overexposure_6,overexposure,4.0,0.6369196772575378,0.0,0.03671156373193167,0.0
tvmonitor,salt_pepper_1,salt_pepper,4.0,23.319385528564453,0.6986955508968088,0.8839800942347398,1.0
tvmonitor,salt_pepper_3,salt_pepper,4.0,11.95071029663086,0.1689386475593372,0.901209179896356,1.0
tvmonitor,salt_pepper_6,salt_pepper,4.0,3.688227891921997,0.06705785919671085,0.0,0.0
